dimDiagnosisCodePK,DiagnosisCode,DiagnosisCodeDescription,DiagnosisCodeGroup
68348049,M255,Pain in joint,Arthropathies: Other joint disorders
69804124,M255,Pain in joint,Arthropathies: Other joint disorders
70175798,M255,Pain in joint,Arthropathies: Other joint disorders
70428387,M255,Pain in joint,Arthropathies: Other joint disorders
74772286,M255,Pain in joint,Arthropathies: Other joint disorders
74841486,M255,Pain in joint,Arthropathies: Other joint disorders
74960273,M255,Pain in joint,Arthropathies: Other joint disorders
76448363,M255,Pain in joint,Arthropathies: Other joint disorders
79061465,M255,Pain in joint,Arthropathies: Other joint disorders
81797242,M255,Pain in joint,Arthropathies: Other joint disorders
82913154,M255,Pain in joint,Arthropathies: Other joint disorders
83169591,M255,Pain in joint,Arthropathies: Other joint disorders
83616937,M255,Pain in joint,Arthropathies: Other joint disorders
85004329,M255,Pain in joint,Arthropathies: Other joint disorders
85617002,M255,Pain in joint,Arthropathies: Other joint disorders
87745342,M255,Pain in joint,Arthropathies: Other joint disorders
90531622,M255,Pain in joint,Arthropathies: Other joint disorders
91986734,M255,Pain in joint,Arthropathies: Other joint disorders
92933793,M255,Pain in joint,Arthropathies: Other joint disorders
93559275,M255,Pain in joint,Arthropathies: Other joint disorders
95481022,M255,Pain in joint,Arthropathies: Other joint disorders
98804015,M255,Pain in joint,Arthropathies: Other joint disorders
99813928,M255,Pain in joint,Arthropathies: Other joint disorders
107179873,M254,Effusion of joint,Arthropathies: Other joint disorders
107314444,M254,Effusion of joint,Arthropathies: Other joint disorders
95960146,M254,Effusion of joint,Arthropathies: Other joint disorders
88647764,M232,Derangement of meniscus due to old tear or injury,Arthropathies: Other joint disorders
107171634,M216,Other acquired deformities of ankle and foot,Arthropathies: Other joint disorders
54012211,M1A9,Other acquired deformities of ankle and foot,Arthropathies: Other joint disorders
107100553,M1A0,Other acquired deformities of ankle and foot,Arthropathies: Other joint disorders
107157652,M199,Other arthrosis,Arthropathies: Arthrosis
107168638,M199,Other arthrosis,Arthropathies: Arthrosis
107190287,M199,Other arthrosis,Arthropathies: Arthrosis
107382666,M199,Other arthrosis,Arthropathies: Arthrosis
56615959,M199,Other arthrosis,Arthropathies: Arthrosis
107140708,M190,Other arthrosis,Arthropathies: Arthrosis
107370076,M190,Other arthrosis,Arthropathies: Arthrosis
107424257,M190,Other arthrosis,Arthropathies: Arthrosis
67377254,M190,Other arthrosis,Arthropathies: Arthrosis
82803716,M190,Other arthrosis,Arthropathies: Arthrosis
107144373,M171,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
107341714,M171,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
107560173,M171,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
63014175,M171,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
64203173,M171,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
72392595,M171,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
74759666,M171,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
91656572,M171,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
77395435,M170,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
81794589,M170,Gonarthrosis [arthrosis of knee],Arthropathies: Arthrosis
107111312,M161,Coxarthrosis [arthrosis of hip],Arthropathies: Arthrosis
56290408,M161,Coxarthrosis [arthrosis of hip],Arthropathies: Arthrosis
89568546,M161,Coxarthrosis [arthrosis of hip],Arthropathies: Arthrosis
96178708,M161,Coxarthrosis [arthrosis of hip],Arthropathies: Arthrosis
85387669,M129,Other specific arthropathies,Arthropathies: Inflammatory polyarthropathies
107264036,M128,"Other specific arthropathies, not elsewhere classified",Arthropathies: Inflammatory polyarthropathies
107436362,M128,"Other specific arthropathies, not elsewhere classified",Arthropathies: Inflammatory polyarthropathies
80996151,M128,"Other specific arthropathies, not elsewhere classified",Arthropathies: Inflammatory polyarthropathies
107390951,M125,Traumatic arthropathy,Arthropathies: Inflammatory polyarthropathies
107169647,M109,"Gout, unspecified",Arthropathies: Inflammatory polyarthropathies
68710928,M109,"Gout, unspecified",Arthropathies: Inflammatory polyarthropathies
107175172,M080,Juvenile rheumatoid arthritis,Arthropathies: Inflammatory polyarthropathies
103327325,M069,"Rheumatoid arthritis, unspecified",Arthropathies: Inflammatory polyarthropathies
107190639,M069,"Rheumatoid arthritis, unspecified",Arthropathies: Inflammatory polyarthropathies
107297755,M069,"Rheumatoid arthritis, unspecified",Arthropathies: Inflammatory polyarthropathies
103188469,M057,Seropositive rheumatoid arthritis,Arthropathies: Inflammatory polyarthropathies
103394336,M057,Seropositive rheumatoid arthritis,Arthropathies: Inflammatory polyarthropathies
103429242,M057,Seropositive rheumatoid arthritis,Arthropathies: Inflammatory polyarthropathies
103810771,M057,Seropositive rheumatoid arthritis,Arthropathies: Inflammatory polyarthropathies
104084957,M057,Seropositive rheumatoid arthritis,Arthropathies: Inflammatory polyarthropathies
107191643,M057,Seropositive rheumatoid arthritis,Arthropathies: Inflammatory polyarthropathies
107197607,M057,Seropositive rheumatoid arthritis,Arthropathies: Inflammatory polyarthropathies
107245834,L989,"Disorder of skin and subcutaneous tissue, unspecified",Other disorders of the skin and subcutaneous tissue
107389634,L989,"Disorder of skin and subcutaneous tissue, unspecified",Other disorders of the skin and subcutaneous tissue
78236792,L989,"Disorder of skin and subcutaneous tissue, unspecified",Other disorders of the skin and subcutaneous tissue
89250449,L989,"Disorder of skin and subcutaneous tissue, unspecified",Other disorders of the skin and subcutaneous tissue
107175553,L980,Pyogenic granuloma,Other disorders of the skin and subcutaneous tissue
58505384,L980,Pyogenic granuloma,Other disorders of the skin and subcutaneous tissue
103323706,L979,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
106701001,L979,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
107112488,L978,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
107224125,L978,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
103290049,L975,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
103349551,L972,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
107256646,L972,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
107401884,L972,"Ulcer of lower limb, not elsewhere classified",Other disorders of the skin and subcutaneous tissue
74280966,L929,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",Other disorders of the skin and subcutaneous tissue
75771318,L929,"Granulomatous disorder of skin and subcutaneous tissue, unspecified",Other disorders of the skin and subcutaneous tissue
66829993,L910,Hypertrophic scar,Other disorders of the skin and subcutaneous tissue
103486073,L894,Decubitus ulcer and pressure area,Other disorders of the skin and subcutaneous tissue
103348786,L891,Stage II decubitus ulcer,Other disorders of the skin and subcutaneous tissue
107231959,L891,Stage II decubitus ulcer,Other disorders of the skin and subcutaneous tissue
92535999,L821,Seborrhoeic keratosis,Other disorders of the skin and subcutaneous tissue
70144913,L820,Seborrhoeic keratosis,Other disorders of the skin and subcutaneous tissue
77650429,L763,Seborrhoeic keratosis,Other disorders of the skin and subcutaneous tissue
107250063,L739,"Follicular disorder, unspecified",Disorders of skin appendages
108504758,L738,Other specified follicular disorders,Disorders of skin appendages
107137232,L732,Hidradenitis suppurativa,Disorders of skin appendages
107196523,L630,Alopecia (capitis) totalis,Disorders of skin appendages
89341949,L600,Ingrowing nail,Disorders of skin appendages
74553011,L570,Actinic keratosis,Radiation-related disorders of the skin and subcutaneous tissue
88421751,L570,Actinic keratosis,Radiation-related disorders of the skin and subcutaneous tissue
107288263,L508,Other urticaria,Urticaria and erythema
107339174,L308,Other specified dermatitis,Dermatitis and eczema
84402131,L259,"Unspecified contact dermatitis, unspecified cause",Dermatitis and eczema
107200952,L237,"Allergic contact dermatitis due to plants, except food",Dermatitis and eczema
79366759,L208,Other atopic dermatitis,Dermatitis and eczema
79604645,L208,Other atopic dermatitis,Dermatitis and eczema
107176136,L050,Pilonidal cyst with abscess,Infections of the skin and subcutaneous tissue
107365748,L050,Pilonidal cyst with abscess,Infections of the skin and subcutaneous tissue
107220924,L040,"Acute lymphadenitis of face, head and neck",Infections of the skin and subcutaneous tissue
58104496,L039,"Cellulitis, unspecified",Infections of the skin and subcutaneous tissue
88575675,L039,"Cellulitis, unspecified",Infections of the skin and subcutaneous tissue
107264503,L033,Cellulitis of trunk,Infections of the skin and subcutaneous tissue
69679792,L032,Cellulitis of face,Infections of the skin and subcutaneous tissue
93540655,L032,Cellulitis of face,Infections of the skin and subcutaneous tissue
107112108,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107143811,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107155461,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107182038,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107212558,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107302603,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107318042,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107430564,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107507769,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107531969,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107720532,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
108030415,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
108919512,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
79200767,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
82718738,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
84450863,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
88365964,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
94805342,L031,Cellulitis of other parts of limb,Infections of the skin and subcutaneous tissue
107164615,L029,"Cutaneous abscess, furuncle and carbuncle, unspecified",Infections of the skin and subcutaneous tissue
107276299,L026,"Cutaneous abscess, furuncle and carbuncle",Infections of the skin and subcutaneous tissue
107524587,L024,"Cutaneous abscess, furuncle and carbuncle of limb",Infections of the skin and subcutaneous tissue
61290834,L024,"Cutaneous abscess, furuncle and carbuncle of limb",Infections of the skin and subcutaneous tissue
55200357,L022,"Cutaneous abscess, furuncle and carbuncle of trunk",Infections of the skin and subcutaneous tissue
103215795,K942,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
103253641,K942,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107271089,K942,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
103714359,K941,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107437182,K940,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
106869856,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107153656,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107159355,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107164216,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107180253,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107200087,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107300562,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107383659,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107384882,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107393907,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107395477,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107411612,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107424501,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107437867,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107454095,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
94362101,K922,"Gastrointestinal haemorrhage, unspecified",Other diseases of the digestive system
107171651,K921,Melaena,Other diseases of the digestive system
56280059,K921,Melaena,Other diseases of the digestive system
85047402,K921,Melaena,Other diseases of the digestive system
86397216,K921,Melaena,Other diseases of the digestive system
107381648,K920,Haematemesis,Other diseases of the digestive system
107569006,K920,Haematemesis,Other diseases of the digestive system
103358527,K918,"Other postprocedural disorders of digestive system, not elsewhere classified",Other diseases of the digestive system
89764171,K918,"Other postprocedural disorders of digestive system, not elsewhere classified",Other diseases of the digestive system
106230328,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107185681,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107196641,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107229509,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107267756,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107270248,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107274538,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107290685,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107434086,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107446426,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107476237,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
53425232,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
67311467,K912,"Postsurgical malabsorption, not elsewhere classified",Other diseases of the digestive system
107192535,K909,"Intestinal malabsorption, unspecified",Other diseases of the digestive system
85711836,K909,"Intestinal malabsorption, unspecified",Other diseases of the digestive system
79810576,K904,"Malabsorption due to intolerance, not elsewhere classified",Other diseases of the digestive system
61651793,K900,Coeliac disease,Other diseases of the digestive system
79238458,K900,Coeliac disease,Other diseases of the digestive system
107116512,K869,"Disease of pancreas, unspecified","Disorders of gallbladder, biliary tract and pancreas"
107262071,K868,Other specified diseases of pancreas,"Disorders of gallbladder, biliary tract and pancreas"
56064154,K868,Other specified diseases of pancreas,"Disorders of gallbladder, biliary tract and pancreas"
76475902,K863,Pseudocyst of pancreas,"Disorders of gallbladder, biliary tract and pancreas"
73973657,K862,Cyst of pancreas,"Disorders of gallbladder, biliary tract and pancreas"
107820068,K851,Billiary acute pancreatitis,"Disorders of gallbladder, biliary tract and pancreas"
58605831,K851,Billiary acute pancreatitis,"Disorders of gallbladder, biliary tract and pancreas"
65519616,K838,Other specified diseases of biliary tract,"Disorders of gallbladder, biliary tract and pancreas"
56959239,K831,Obstruction of bile duct,"Disorders of gallbladder, biliary tract and pancreas"
106671657,K830,Cholangitis,"Disorders of gallbladder, biliary tract and pancreas"
107079074,K830,Cholangitis,"Disorders of gallbladder, biliary tract and pancreas"
107528946,K830,Cholangitis,"Disorders of gallbladder, biliary tract and pancreas"
107543674,K830,Cholangitis,"Disorders of gallbladder, biliary tract and pancreas"
107793574,K830,Cholangitis,"Disorders of gallbladder, biliary tract and pancreas"
107322769,K829,"Disease of gallbladder, unspecified","Disorders of gallbladder, biliary tract and pancreas"
58294116,K828,Other specified diseases of gallbladder,"Disorders of gallbladder, biliary tract and pancreas"
91174164,K811,Chronic cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
107114007,K810,Acute cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
107773964,K810,Acute cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
94611994,K810,Acute cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
107168787,K805,Calculus of bile duct without cholangitis or cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
107921854,K805,Calculus of bile duct without cholangitis or cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
107211762,K802,Calculus of gallbladder without cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
76349465,K802,Calculus of gallbladder without cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
107314758,K801,Calculus of gallbladder with other cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
53415885,K801,Calculus of gallbladder with other cholecystitis,"Disorders of gallbladder, biliary tract and pancreas"
108175941,K769,"Liver disease, unspecified",Diseases of liver
87668171,K769,"Liver disease, unspecified",Diseases of liver
59797198,K760,"Fatty (change of) liver, not elsewhere classified",Diseases of liver
64712052,K760,"Fatty (change of) liver, not elsewhere classified",Diseases of liver
66797511,K760,"Fatty (change of) liver, not elsewhere classified",Diseases of liver
107159289,K750,Abscess of liver,Diseases of liver
103337499,K746,Other and unspecified cirrhosis of liver,Diseases of liver
103494433,K746,Other and unspecified cirrhosis of liver,Diseases of liver
104033502,K746,Other and unspecified cirrhosis of liver,Diseases of liver
104234582,K743,Primary biliary cirrhosis,Diseases of liver
109430741,K740,Hepatic fibrosis,Diseases of liver
107325002,K716,"Toxic liver disease with hepatitis, not elsewhere classified",Diseases of liver
103247566,K703,Alcoholic cirrhosis of liver,Diseases of liver
103337065,K703,Alcoholic cirrhosis of liver,Diseases of liver
107214009,K703,Alcoholic cirrhosis of liver,Diseases of liver
107406549,K703,Alcoholic cirrhosis of liver,Diseases of liver
107725682,K703,Alcoholic cirrhosis of liver,Diseases of liver
107342595,K701,Alcoholic hepatitis,Diseases of liver
107436492,K701,Alcoholic hepatitis,Diseases of liver
70381674,K701,Alcoholic hepatitis,Diseases of liver
107256669,K668,Other specified disorders of peritoneum,Diseases of peritoneum
103283515,K651,Peritonitis,Diseases of peritoneum
107151197,K651,Peritonitis,Diseases of peritoneum
107156523,K638,Other specified diseases of intestine,Other diseases of intestines
107168733,K638,Other specified diseases of intestine,Other diseases of intestines
76915801,K638,Other specified diseases of intestine,Other diseases of intestines
64898429,K635,Polyp of colon,Other diseases of intestines
70005494,K635,Polyp of colon,Other diseases of intestines
71686279,K635,Polyp of colon,Other diseases of intestines
74028578,K635,Polyp of colon,Other diseases of intestines
84109157,K635,Polyp of colon,Other diseases of intestines
107424337,K633,Ulcer of intestine,Other diseases of intestines
62760428,K630,Abscess of intestine,Other diseases of intestines
107340114,K625,Haemorrhage of anus and rectum,Other diseases of intestines
107244799,K621,Rectal polyp,Other diseases of intestines
107542966,K610,Anal abscess,Other diseases of intestines
107179806,K591,Functional diarrhoea,Other diseases of intestines
101469938,K590,Constipation,Other diseases of intestines
106722547,K590,Constipation,Other diseases of intestines
107156539,K590,Constipation,Other diseases of intestines
107172434,K590,Constipation,Other diseases of intestines
107215749,K590,Constipation,Other diseases of intestines
107219744,K590,Constipation,Other diseases of intestines
107263705,K590,Constipation,Other diseases of intestines
107280836,K590,Constipation,Other diseases of intestines
107402463,K590,Constipation,Other diseases of intestines
107419684,K590,Constipation,Other diseases of intestines
107437846,K590,Constipation,Other diseases of intestines
107627813,K590,Constipation,Other diseases of intestines
55389213,K590,Constipation,Other diseases of intestines
58456284,K590,Constipation,Other diseases of intestines
64469146,K590,Constipation,Other diseases of intestines
69521652,K590,Constipation,Other diseases of intestines
80322401,K590,Constipation,Other diseases of intestines
96335156,K590,Constipation,Other diseases of intestines
68910588,K582,Irritable bowel syndrome,Other diseases of intestines
107408931,K579,"Diverticular disease of intestine, part unspecified, without perforation or abscess",Other diseases of intestines
107456436,K579,"Diverticular disease of intestine, part unspecified, without perforation or abscess",Other diseases of intestines
55737591,K579,"Diverticular disease of intestine, part unspecified, without perforation or abscess",Other diseases of intestines
68852243,K579,"Diverticular disease of intestine, part unspecified, without perforation or abscess",Other diseases of intestines
79197997,K579,"Diverticular disease of intestine, part unspecified, without perforation or abscess",Other diseases of intestines
67109256,K573,Diverticular disease of large intestine without perforation or abscess,Other diseases of intestines
103238776,K567,"Ileus, unspecified",Other diseases of intestines
107652375,K567,"Ileus, unspecified",Other diseases of intestines
103323065,K566,Other and unspecified intestinal obstruction,Other diseases of intestines
103345198,K566,Other and unspecified intestinal obstruction,Other diseases of intestines
104329613,K566,Other and unspecified intestinal obstruction,Other diseases of intestines
107160663,K566,Other and unspecified intestinal obstruction,Other diseases of intestines
107275643,K566,Other and unspecified intestinal obstruction,Other diseases of intestines
107325939,K566,Other and unspecified intestinal obstruction,Other diseases of intestines
107474221,K566,Other and unspecified intestinal obstruction,Other diseases of intestines
110609096,K566,Other and unspecified intestinal obstruction,Other diseases of intestines
103221414,K564,Other impaction of intestine,Other diseases of intestines
103373271,K559,"Vascular disorder of intestine, unspecified",Other diseases of intestines
107154316,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
107179587,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
107350004,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
107373468,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
107436646,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
68650834,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
68971637,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
71339696,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
79507262,K529,"Noninfective gastroenteritis and colitis, unspecified",Noninfective enteritis and colitis
103346797,K510,Ulcerative (chronic) pancolitis,Noninfective enteritis and colitis
103216437,K509,"Crohn's disease, unspecified",Noninfective enteritis and colitis
103703905,K508,Other Crohn's disease,Noninfective enteritis and colitis
107439237,K508,Other Crohn's disease,Noninfective enteritis and colitis
109470951,K508,Other Crohn's disease,Noninfective enteritis and colitis
103764471,K501,Crohn's disease of large intestine,Noninfective enteritis and colitis
107185776,K501,Crohn's disease of large intestine,Noninfective enteritis and colitis
103205001,K500,Crohn's disease of small intestine,Noninfective enteritis and colitis
107229143,K500,Crohn's disease of small intestine,Noninfective enteritis and colitis
107330076,K500,Crohn's disease of small intestine,Noninfective enteritis and colitis
107457179,K500,Crohn's disease of small intestine,Noninfective enteritis and colitis
108939881,K469,Unspecified abdominal hernia without obstruction or gangrene,Hernia
61865437,K469,Unspecified abdominal hernia without obstruction or gangrene,Hernia
109978768,K449,Diaphragmatic hernia without obstruction or gangrene,Hernia
57789885,K449,Diaphragmatic hernia without obstruction or gangrene,Hernia
89464425,K449,Diaphragmatic hernia without obstruction or gangrene,Hernia
78898001,K439,Other and unspecified ventral hernia without obstruction or gangrene,Hernia
107753765,K436,"Other and unspecified ventral hernia with obstruction, without gangrene",Hernia
79723314,K436,"Other and unspecified ventral hernia with obstruction, without gangrene",Hernia
109426119,K432,Incisional hernia without obstruction or gangrene,Hernia
107406125,K429,Umbilical hernia without obstruction or gangrene,Hernia
73621037,K409,"Unilateral or unspecified inguinal hernia, without obstruction or gangrene",Hernia
61195435,K358,"Acute appendicitis, other and unspecified",Diseases of appendix
63658931,K358,"Acute appendicitis, other and unspecified",Diseases of appendix
64125512,K358,"Acute appendicitis, other and unspecified",Diseases of appendix
71817157,K358,"Acute appendicitis, other and unspecified",Diseases of appendix
90037619,K353,Acute appendicitis with localised peritonitis,Diseases of appendix
107298264,K319,"Disease of stomach and duodenum, unspecified","Diseases of oesophagus, stomach and duodenum"
107305075,K319,"Disease of stomach and duodenum, unspecified","Diseases of oesophagus, stomach and duodenum"
83689429,K319,"Disease of stomach and duodenum, unspecified","Diseases of oesophagus, stomach and duodenum"
60652907,K318,Other specified diseases of stomach and duodenum,"Diseases of oesophagus, stomach and duodenum"
81763673,K311,Adult hypertrophic pyloric stenosis,"Diseases of oesophagus, stomach and duodenum"
90029176,K311,Adult hypertrophic pyloric stenosis,"Diseases of oesophagus, stomach and duodenum"
107398819,K298,Duodenitis,"Diseases of oesophagus, stomach and duodenum"
89715491,K298,Duodenitis,"Diseases of oesophagus, stomach and duodenum"
107407188,K297,"Gastritis, unspecified","Diseases of oesophagus, stomach and duodenum"
80259083,K297,"Gastritis, unspecified","Diseases of oesophagus, stomach and duodenum"
58005748,K296,Other gastritis,"Diseases of oesophagus, stomach and duodenum"
94891004,K296,Other gastritis,"Diseases of oesophagus, stomach and duodenum"
107307985,K295,"Chronic gastritis, unspecified","Diseases of oesophagus, stomach and duodenum"
107366254,K295,"Chronic gastritis, unspecified","Diseases of oesophagus, stomach and duodenum"
53843763,K295,"Chronic gastritis, unspecified","Diseases of oesophagus, stomach and duodenum"
61749667,K295,"Chronic gastritis, unspecified","Diseases of oesophagus, stomach and duodenum"
62986063,K295,"Chronic gastritis, unspecified","Diseases of oesophagus, stomach and duodenum"
80626106,K295,"Chronic gastritis, unspecified","Diseases of oesophagus, stomach and duodenum"
107236169,K279,"Peptic ulcer, site unspecified, unspecified as acute or chronic, without haemorrhage or perforation","Diseases of oesophagus, stomach and duodenum"
103321846,K265,"Duodenal ulcer, chronic or unspecified with perforation","Diseases of oesophagus, stomach and duodenum"
87105011,K259,"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation","Diseases of oesophagus, stomach and duodenum"
67394849,K254,"Gastric ulcer, chronic or unspecified with haemorrhage","Diseases of oesophagus, stomach and duodenum"
107432696,K228,Other specified diseases of oesophagus,"Diseases of oesophagus, stomach and duodenum"
95316403,K227,Barrett's oesophagus ,"Diseases of oesophagus, stomach and duodenum"
96650589,K223,Perforation of oesophagus,"Diseases of oesophagus, stomach and duodenum"
62154653,K222,Oesophageal obstruction,"Diseases of oesophagus, stomach and duodenum"
107108116,K219,Gastro-oesophageal reflux disease without oesophagitis,"Diseases of oesophagus, stomach and duodenum"
107157788,K219,Gastro-oesophageal reflux disease without oesophagitis,"Diseases of oesophagus, stomach and duodenum"
107183067,K219,Gastro-oesophageal reflux disease without oesophagitis,"Diseases of oesophagus, stomach and duodenum"
107183914,K219,Gastro-oesophageal reflux disease without oesophagitis,"Diseases of oesophagus, stomach and duodenum"
60868213,K219,Gastro-oesophageal reflux disease without oesophagitis,"Diseases of oesophagus, stomach and duodenum"
78140666,K219,Gastro-oesophageal reflux disease without oesophagitis,"Diseases of oesophagus, stomach and duodenum"
88373597,K219,Gastro-oesophageal reflux disease without oesophagitis,"Diseases of oesophagus, stomach and duodenum"
107100719,K210,Gastro-oesophageal reflux disease with oesophagitis,"Diseases of oesophagus, stomach and duodenum"
107146039,K210,Gastro-oesophageal reflux disease with oesophagitis,"Diseases of oesophagus, stomach and duodenum"
78492802,K209,Oesophagitis,"Diseases of oesophagus, stomach and duodenum"
91989789,K209,Oesophagitis,"Diseases of oesophagus, stomach and duodenum"
107269386,K208,Oesophagitis,"Diseases of oesophagus, stomach and duodenum"
59856824,K200,Oesophagitis,"Diseases of oesophagus, stomach and duodenum"
79797926,K200,Oesophagitis,"Diseases of oesophagus, stomach and duodenum"
97216301,K200,Oesophagitis,"Diseases of oesophagus, stomach and duodenum"
72398789,K137,Other and unspecified lesions of oral mucosa,"Diseases of oral cavity, salivary glands and jaws"
107141825,K121,Other forms of stomatitis,"Diseases of oral cavity, salivary glands and jaws"
96791453,K118,Other diseases of salivary glands,"Diseases of oral cavity, salivary glands and jaws"
59980604,K098,"Other cysts of oral region, not elsewhere classified","Diseases of oral cavity, salivary glands and jaws"
83312666,K047,Periapical abscess without sinus,"Diseases of oral cavity, salivary glands and jaws"
107110425,J989,"Respiratory disorder, unspecified",Other diseases of the respiratory system
62415631,J988,Other specified respiratory disorders,Other diseases of the respiratory system
67103873,J988,Other specified respiratory disorders,Other diseases of the respiratory system
58238988,J985,"Diseases of mediastinum, not elsewhere classified",Other diseases of the respiratory system
107558532,J981,Pulmonary collapse,Other diseases of the respiratory system
107589797,J981,Pulmonary collapse,Other diseases of the respiratory system
84496055,J981,Pulmonary collapse,Other diseases of the respiratory system
